"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2NZZP3ES","book","1730","Bodenehr, Gabriel","Maiorca : Die gröste von den Balearische[n] Insulen unter Catalonie[n] gelegen ...","","","","","","","1730","2019-02-13 17:27:28","2019-02-13 17:29:25","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Bergzeichnung</p>; <p>Bergzeichnung</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Maßstab in grafischer Form (Frantzösische Meylen). - Ohne Kartennetz und Randgraduierung</p>; <p>Maßstab in grafischer Form (Frantzösische Meylen). - Ohne Kartennetz und Randgraduierung</p>; <p>Oben rechts: &quot;58&quot;</p>; <p>Oben rechts: &quot;58&quot;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDSIJ5P4","book","1730","Bodenehr, Gabriel","Constantinopel","","","","","","","1730","2019-02-13 17:27:29","2019-02-13 17:29:24","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Bergzeichnung</p>; <p>Bergzeichnung</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Maßstab in grafischer Form (ohne Maßeinheit). - Ohne Kartennetz und Randgraduierung</p>; <p>Maßstab in grafischer Form (ohne Maßeinheit). - Ohne Kartennetz und Randgraduierung</p>; <p>Oben rechts: &quot;14&quot;</p>; <p>Oben rechts: &quot;14&quot;</p>; <p>Titelkartusche oben links</p>; <p>Titelkartusche oben links</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP5UEI59","book","1730","Bodenehr, Gabriel","Bender","","","","","","","1730","2019-02-13 17:27:28","2019-02-13 17:29:24","","","1 Karte","","","","","","","","","","Gabriel Bodenehr excud.","Aug. V.","","","","","","","","","<p>E oben. - Ohne Kartennetz und Randgraduierung</p>; <p>E oben. - Ohne Kartennetz und Randgraduierung</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Oben rechts: &quot;3&quot;</p>; <p>Oben rechts: &quot;3&quot;</p>; <p>Titel und Erläuterungen links neben dem Kartenfeld</p>; <p>Titel und Erläuterungen links neben dem Kartenfeld</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9P8XNWF","book","1730","Bodenehr, Gabriel","Aix : in dem Gouvernement Provence gelegen","","","","","","","1730","2019-02-13 17:27:28","2019-02-13 17:29:23","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Erschienen in: Bodenehr, Gabriel: Anderer Theil des Tractats, so betitelt Force d&apos;Europe. - Augsburg : Bodenehr, [circa 1730]</p>; <p>Mit Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Mit Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Nicht identisch mit GBV PPN 1030539510, dort: ohne Nummerierung des Blattes</p>; <p>Nicht identisch mit GBV PPN 1030539510, dort: ohne Nummerierung des Blattes</p>; <p>Oben rechts: &quot;1.&quot;</p>; <p>Oben rechts: &quot;1.&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRL3UPXF","book","1728","","Tabula Nova de Russiae Magnae Imperium Occidentalis Vertonende derselver Landschappen en Provientien So Wyd als het in Europe is Gelegen, na vele hedendaagse Reisen Landbeschryvingen als meede verscheide Afteikeningen, naukeurig opgesteld en Getekend","","","","","","","1728","2019-02-13 17:27:31","2019-02-13 17:29:22","","","1 Kt., Handzeichn","","","","","","","","","","","St. Petersburg","","","","","","","","","<p>mit 2 Windrosen oben Mitte u. unten Mitte links. - Titelkartusche oben links. - Maßstabkartusche oben Mitte mit Text:nota, de Steden em Landschappen Syn op haar behoorlyke Lengte en breetens Gelegt, so veel de hedendaagse ondervindingen ons heeft konnen bekend maken</p>; <p>mit 2 Windrosen oben Mitte u. unten Mitte links. - Titelkartusche oben links. - Maßstabkartusche oben Mitte mit Text:nota, de Steden em Landschappen Syn op haar behoorlyke Lengte en breetens Gelegt, so veel de hedendaagse ondervindingen ons heeft konnen bekend maken</p>","","","","","Maas, Abraham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJGA27R4","book","1725","","Germania Augustiniana Exhibens Provincias Ord. Fr. Fr. Eremit. S. Augustini una cum Monasterijs et Residentis as Aßistentiam Generalem utriusque Germaniæ. Bohemiæ, Moraviæ, Poloniæ, Hungariæ, et Hyberniæ, pertinentibus ...","","","","","","","1725","2019-02-13 17:27:31","2020-01-28 13:51:27","","","1 Kt., Kupferst","","","","","","","","","","Matthæus Seutter","Augustae Vindel.","","","","","","","","","<p>IMD-Felder maschinell generiert</p>; <p>IMD-Felder maschinell generiert</p>; <p>Windrose links Mitte. - Titelkartusche mit Wappen oben links. - Erläuterungs- u. Maßstabskartusche oben rechts. - Kartusche mit statist. Erläuterungen links unten. - Stecher unten rechts über Kartenrahmen</p>; <p>Windrose links Mitte. - Titelkartusche mit Wappen oben links. - Erläuterungs- u. Maßstabskartusche oben rechts. - Kartusche mit statist. Erläuterungen links unten. - Stecher unten rechts über Kartenrahmen</p>","","","Holy Roman Empire; Maps","","Seutter, Matthæus; Seutter, Georg Matthæus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5X9RB8K9","book","1720","Bodenehr, Gabriel","Vercelli : die Haupt Stadt u. Vestung der Herschaft Gleiches Nahmens, an dem Meylændischen Staat gelegen","","","","","","","1720","2019-02-13 17:27:32","2019-02-13 17:29:20","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Maßstab in grafischer Form (Thoises oder Klaffter). - Ohne Kartennetz und Randgraduierung</p>; <p>Maßstab in grafischer Form (Thoises oder Klaffter). - Ohne Kartennetz und Randgraduierung</p>; <p>Oben rechts: &quot;187&quot;</p>; <p>Oben rechts: &quot;187&quot;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MF8GFJY","book","1720","Bodenehr, Gabriel","Venetia","","","","","","","1720","2019-02-13 17:27:32","2019-02-13 17:29:20","","","1 Vogelschaubild","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>&quot;Cum Grat: et Priv. Sac. Cæs. Maj.&quot;</p>; <p>&quot;Cum Grat: et Priv. Sac. Cæs. Maj.&quot;</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Mit Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Mit Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Oben rechts: &quot;186&quot;</p>; <p>Oben rechts: &quot;186&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>&quot;Wappen der Statt&quot; oben links. - &quot;Wappen der Republic&quot; oben rechts</p>; <p>&quot;Wappen der Statt&quot; oben links. - &quot;Wappen der Republic&quot; oben rechts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PG3TCFN2","book","1720","Bodenehr, Gabriel","Turin die Haupt Stadt In Piemont","","","","","","","1720","2019-02-13 17:27:32","2019-02-13 17:29:19","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Maßstab in grafischer Form (Thoises oder Klaffter). - Ohne Kartennetz und Randgraduierung</p>; <p>Maßstab in grafischer Form (Thoises oder Klaffter). - Ohne Kartennetz und Randgraduierung</p>; <p>Oben rechts: &quot;180.&quot;</p>; <p>Oben rechts: &quot;180.&quot;</p>; <p>Titel oben links</p>; <p>Titel oben links</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFUEVTYK","book","1720","Bodenehr, Gabriel","Trient oder Trento","","","","","","","1720","2019-02-13 17:27:33","2019-02-13 17:29:18","","","1 Vogelschaubild","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Mit Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Mit Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Oben rechts: &quot;179&quot;</p>; <p>Oben rechts: &quot;179&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Titel oben Mitte</p>; <p>Titel oben Mitte</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
